file,check,count,lines,excerpt
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/01_Foundations_and_MIL/Day01_VModel_and_Requirements/exercises/worked_example.rst,duplicate_line,3,42;47;52,GIVEN: A pre-configured MIL environment with frozen assumptions.
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/01_Foundations_and_MIL/Day01_VModel_and_Requirements/exercises/worked_example.rst,duplicate_paragraph,2,62;124,.. admonition:: Standards Reference ↵ :class: tip
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/01_Foundations_and_MIL/Day02_Traceability_and_TestDesign/06_medical/use_case/requirements.rst,duplicate_line,3,139;147;159,- 🔴 Critical
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_line,11,22;52;75;97;119;142;164;187,:widths: 20 40 20 20
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_line,11,23;53;76;98;120;143;165;188,:stub-columns: 1
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_line,11,26;56;79;101;123;146;168;191,- **Description**
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_line,3,62;129;173,"- logs, traces"
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_line,3,247;252;257,"WHEN data is transmitted,"
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_line,3,273;277;281,- Data is transmitted
/home/madhavan/projects/Embedded-V-and-V-Deep-Dive/03_HIL_and_RealTime/Day25_Bus_and_Network_Analysis/concepts/concept_note.rst,duplicate_paragraph,11,21;51;74;96;118;141;163;186,.. list-table:: ↵ :widths: 20 40 20 20 ↵ :stub-columns: 1
